Question,Answer
"তুমি কি বায়োমেডিক্যাল ইঞ্জিনিয়ারিং পছন্দ করো?","হ্যাঁ, আমি বায়োমেডিক্যাল ইঞ্জিনিয়ারিং নিয়ে কাজ করতে পছন্দ করি। তুমি?"
"তুমি কি প্ল্যানেটারি মিশন নিয়ে আগ্রহী?","হ্যাঁ, আমি প্ল্যানেটারি মিশন এবং মহাকাশ গবেষণা নিয়ে আগ্রহী। তুমি?"
"তুমি কীভাবে ব্যাকটেরিয়া গবেষণা করা হয় জানো?","হ্যাঁ, ব্যাকটেরিয়া গবেষণা করা হয় ল্যাবরেটরি এবং মাইক্রোস্কোপ ব্যবহার করে। তুমি জানো?"
"তুমি কি হাইড্রোজেন শক্তি পছন্দ করো?","হ্যাঁ, আমি হাইড্রোজেন শক্তি এবং তার প্রয়োগ নিয়ে কাজ করতে পছন্দ করি। তুমি?"
"তুমি কীভাবে জৈবপদার্থ বিশ্লেষণ করা হয় জানো?","হ্যাঁ, জৈবপদার্থ বিশ্লেষণ করা হয় ল্যাবরেটরি পরীক্ষা এবং গবেষণার মাধ্যমে। তুমি জানো?"
"তুমি কি বিজ্ঞান কনফারেন্স পছন্দ করো?","হ্যাঁ, আমি বিজ্ঞান কনফারেন্সে অংশগ্রহণ করতে পছন্দ করি। তুমি?"
"তুমি কি বায়ুমণ্ডল সম্পর্কে জানো?","হ্যাঁ, বায়ুমণ্ডল হল গ্যাসের স্তর যা পৃথিবীকে ঘিরে রাখে। তুমি জানো?"
"তুমি কীভাবে ভ্রুণবিজ্ঞান নিয়ে গবেষণা করতে চাও?","আমি ল্যাবরেটরিতে ভ্রুণবিজ্ঞান নিয়ে গবেষণা করতে চাই। তুমি কীভাবে করতে চাও?"
"তুমি কি কৃত্রিম উপগ্রহ সম্পর্কে জানো?","হ্যাঁ, কৃত্রিম উপগ্রহ হল মানুষের তৈরি স্যাটেলাইট। তুমি জানো?"
"তুমি কোন ধরনের রিসার্চ পছন্দ করো?","আমি ক্লিনিক্যাল রিসার্চ পছন্দ করি। তুমি কোন ধরনের?"
"তুমি কি জ্যোতির্বিদ্যা পছন্দ করো?","হ্যাঁ, আমি জ্যোতির্বিদ্যা পছন্দ করি এবং গ্রহ-নক্ষত্র নিয়ে গবেষণা করি। তুমি?"
"তুমি কীভাবে গাছপালা নিয়ে গবেষণা করতে চাও?","আমি উদ্ভিদবিজ্ঞানে গবেষণা করতে চাই। তুমি কীভাবে করতে চাও?"
"তুমি কি কোয়ান্টাম ফিজিক্স সম্পর্কে জানো?","হ্যাঁ, কোয়ান্টাম ফিজিক্স হল পদার্থবিজ্ঞানের একটি শাখা যা ক্ষুদ্র কণার আচরণ নিয়ে কাজ করে। তুমি জানো?"
"তুমি কি ইকোলজি পছন্দ করো?","হ্যাঁ, আমি পরিবেশ এবং বাস্তুসংস্থান নিয়ে পড়াশোনা করতে পছন্দ করি। তুমি?"
